Localidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Cachoeira Alta;4.734.627,84;5.664.803,48;2.518.214,02;3.258.318,08;5.811.159;3.922.813;16.480.587;33.670.556;28.165.858;9.100.472;43.726.955
Cachoeira de Goiás;429.000,00;956.287,08;225.000,00;180.000,00;100.802;96.050;1.225.377;3.145.538;6.004.513;2.531.755;8.300.248
Cachoeira Dourada;10.152.190,75;7.508.659,86;16.942.658,38;25.949.861,19;27.783.864;36.761.323;37.098.719;32.743.653;23.859.622;10.495.413;23.010.369
Caçu;125.662.045,37;10.139.972,41;6.669.306,18;19.275.639,77;6.215.583;19.718.335;11.683.149;30.082.673;17.382.293;40.902.618;37.627.273
Caiapônia;144.904.838,20;141.218.535,64;150.207.655,61;172.965.479,51;210.895.520;230.283.604;272.670.690;453.265.574;585.482.766;160.202.830;655.849.083
Caldas Novas;35.249.373,03;39.168.374,95;48.070.413,14;47.854.184,49;73.850.808;60.525.437;71.890.918;129.119.396;159.328.971;70.490.988;133.436.357
Caldazinha;188.642,33;-;49.707,00;493.953,63;259.752;785.165;891.642;1.689.120;1.953.868;250.000;1.908.400
Campestre de Goiás;1.078.370,47;643.401,31;441.131,35;888.888,10;1.821.440;2.113.068;2.494.081;4.991.892;5.255.952;2.969.314;2.780.544
Campinaçu;871.911,06;1.048.848,57;1.570.492,49;1.650.519,34;4.180.842;7.197.178;13.580.846;10.069.322;10.510.368;6.807.680;10.257.309
Campinorte;11.197.222,93;8.658.652,86;7.723.219,95;11.189.537,42;15.398.552;15.913.707;19.470.817;30.600.731;57.705.346;15.809.768;59.077.479
Campo Alegre de Goiás;137.172.897,55;179.016.280,87;172.392.253,66;191.281.220,78;219.921.724;294.277.424;270.871.665;372.131.895;195.127.681;109.661.253;326.921.285
Campo Limpo de Goiás;1.139.872,99;1.211.884,55;1.351.098,11;945.325,27;1.899.791;1.718.819;3.439.717;3.503.242;1.404.647;1.719.754;1.535.122
Campos Belos;23.612,70;413.811,00;777.159,66;115.650,00;116.100;0;263.670;-;-;2.395.600;1.028.131
Campos Verdes;-;-;-;-;165.175;0;-;-;-;5.570.635;7.437.984
Carmo do Rio Verde;886.747,75;577.490,62;2.158.224,37;591.546,61;350.776;20.109.656;959.887;561.315;459.707;1.661.126;3.220.019
Castelândia;6.367.676,29;8.712.786,21;9.718.195,07;14.793.751,76;6.396.348;7.539.709;15.601.494;41.104.445;30.046.247;18.332.740;34.083.863
Catalão;210.837.183,77;178.924.733,29;191.485.962,69;232.477.137,45;274.944.527;340.071.709;327.837.927;559.077.289;467.996.305;286.385.969;630.050.334
Caturaí;374.946,06;173.613,47;46.929,94;42.665,87;261.870;697.270;2.274.995;4.761.911;5.404.817;3.964.358;8.867.468
Cavalcante;3.156.620,00;2.058.983,45;924.200,96;1.804.789,83;2.711.411;3.580.112;3.710.868;8.716.167;5.571.004;20.631.962;18.821.968
Ceres;236.178,84;335.561,97;724.547,24;239.362,06;432.658;1.073.500;745.352;1.527.928;1.905.412;918.128;918.699
Cezarina;7.873.202,79;9.514.264,41;6.633.723,06;7.459.411,41;12.489.383;15.894.479;16.228.397;35.942.236;41.949.760;4.340.597;39.084.858
Chapadão do Céu;393.966.124,94;517.976.404,25;446.631.912,23;419.560.253,34;549.130.088;498.991.979;513.374.864;648.861.868;371.819.845;244.932.224;495.656.231
Cidade Ocidental;3.213.018,17;3.626.352,35;3.466.783,41;3.619.456,91;4.527.294;1.076.438;9.017.335;13.338.828;4.273.932;7.252.340;9.348.872
Cocalzinho de Goiás;13.464.303,00;17.309.261,50;19.081.605,97;21.993.896,03;24.727.561;29.200.123;35.781.266;40.564.696;50.569.050;38.339.378;33.896.275
Colinas do Sul;68.465,00;-;729.793,80;-;38.700;0;-;678.000;-;4.895.750;3.465.722
Córrego do Ouro;43.581,08;51.369,71;153.337,06;-;25.998.933;0;88.966;-;783.989;737.002;5.864.228
Corumbá de Goiás;19.382.535,92;12.723.995,79;12.631.532,51;14.301.995,52;24.341.161;23.410.089;17.637.765;26.039.539;21.932.423;21.775.486;46.911.587
Corumbaíba;9.640.797,75;11.224.162,22;11.619.540,71;13.859.826,31;20.378.108;20.835.678;23.740.715;46.349.458;50.564.981;28.568.380;115.011.121
Cristalina;447.724.779,84;411.444.269,95;343.360.483,85;419.572.932,46;519.060.582;490.364.888;516.034.590;736.455.320;571.607.079;309.351.498;921.978.159
Cristianópolis;2.101.039,80;2.000.470,85;1.574.982,11;2.883.333,61;3.402.430;3.947.802;4.747.649;10.934.851;12.216.201;7.078.830;10.641.971
Crixás;1.478.147,00;2.132.135,07;370.063,52;-;553.224;997.500;636.089;1.264.448;414.844;3.058.022;19.164.373
Cromínia;2.044.684,06;2.714.676,84;1.708.253,91;3.893.849,91;3.796.283;5.261.116;6.222.411;9.994.924;14.860.345;4.060.488;17.888.230
Cumari;1.188.658,44;1.118.319,24;1.744.641,70;2.550.887,78;3.698.353;7.955.477;7.307.161;12.705.897;14.922.870;14.914.156;47.561.188
Damianópolis;445.651,83;105.730,77;53.378,25;1.663.091,03;15.185;0;25.456;-;-;-;699.042
Damolândia;149.750,95;68.559,93;32.197,31;-;51.470;143.120;186.065;345.000;54.985;0;262.323
Davinópolis;1.865.861,77;1.286.133,04;1.351.665,01;1.269.848,34;3.622.341;3.338.390;3.770.688;2.865.859;9.179.581;5.961.585;15.693.149
Diorama;1.468.364,23;1.580.775,62;2.169.247,23;1.672.901,02;3.541.796;3.483.813;5.732.597;23.078.490;39.413.555;22.881.641;22.510.918
Divinópolis de Goiás;-;544.616,30;-;-;9.190.403;0;-;-;562.249;0;1.000.000
Doverlândia;26.257.153,53;20.769.268,08;27.162.145,28;39.197.512,57;50.176.722;38.328.495;72.668.650;111.962.350;158.740.050;71.041.861;203.777.410
Edealina;37.031.552,51;29.933.060,21;41.169.098,58;46.842.190,79;61.999.143;69.296.473;63.167.686;105.047.204;100.689.999;21.620.481;123.190.551
Edéia;70.289.422,97;69.247.208,88;85.593.991,47;101.979.063,73;113.534.069;119.134.308;132.170.973;232.372.594;202.637.408;37.463.319;223.432.602
Estrela do Norte;410.241,10;-;-;191.410,26;278.774;0;665.529;798.704;7.707.567;8.489.002;2.400.542
Faina;-;318.475,50;369.310,00;601.300,00;57.981.383;270.900;89.436;231.308;-;3.000.870;9.925.366
Fazenda Nova;356.603,31;-;-;409.410,24;1.997.956;2.281.044;3.373.597;5.241.377;6.059.923;2.659.548;17.222.095
Firminópolis;10.864.162,24;7.423.940,53;5.687.794,50;7.225.238,45;9.585.449;13.409.889;17.034.301;31.559.718;36.628.897;13.505.990;37.921.423
Flores de Goiás;42.347.640,46;22.066.005,35;18.728.309,47;24.501.477,83;26.332.212;37.972.754;65.111.906;60.180.351;22.521.178;72.975.411;73.793.158
Formosa;74.930.309,11;111.460.624,26;52.653.213,30;69.758.886,43;80.651.496;106.784.286;133.194.728;184.487.658;92.390.067;154.822.063;162.652.295
Formoso;5.212.672,75;5.590.358,25;3.847.023,08;2.604.003,34;563.070;587.331;677.930;249.987;-;0;1.303.402
Gameleira de Goiás;38.793.947,57;42.683.751,80;41.897.660,28;48.798.547,15;72.253.909;51.556.906;64.151.902;120.358.358;74.778.658;59.922.719;99.378.125
Goianápolis;5.954.789,45;3.827.792,38;5.192.694,79;4.770.153,51;2.967.905;2.004.171;1.595.406;11.609.950;715.497;7.569.650;4.093.601
Goiandira;3.345.982,78;1.565.749,20;4.307.515,42;5.026.218,31;6.275.380;6.386.641;12.068.092;13.579.544;6.814.098;9.024.325;24.318.467
Goianésia;57.741.809,64;31.123.568,63;27.524.265,67;51.860.929,47;63.080.614;123.966.127;5.988.971;106.471.508;17.736.382;15.365.660;109.591.329
Goiânia;201.331.371,89;29.441.541,54;144.161.997,26;140.020.110,88;252.267.135;88.728.038;70.110.294;102.942.004;2.724.829;417.086.250;17.915.896
Goianira;6.334.716,98;10.637.803,64;15.004.100,74;17.595.927,77;15.266.906;11.925.779;23.810.232;66.738.914;4.858.516;9.767.700;8.290.550
Goiás;9.052.790,60;6.283.038,45;7.734.084,79;8.853.874,49;8.445.320;25.657.831;15.282.354;35.702.793;34.536.402;10.592.931;37.554.139
Goiatuba;154.636.257,70;153.762.413,37;265.367.435,19;173.032.249,25;233.815.490;220.017.757;288.698.246;408.921.031;369.880.639;138.445.672;367.314.629
Gouvelândia;16.482.327,16;17.051.155,52;32.173.672,71;12.819.250,29;15.707.481;18.071.326;22.565.651;39.150.687;31.524.224;6.883.955;49.370.897
Guapó;457.256,54;97.197,28;90.000,00;224.484,61;946.700;2.686.939;1.498.172;7.603.673;13.684.115;1.261.023;20.697.007
Guaraíta;215.939,95;148.719,65;2.702,13;2.918,07;3.168;16.801;3.415;540.458;-;495.435;209.000
Guarani de Goiás;122.345,66;121.391,86;189.560,43;-;164.600;340.598;570.817;1.395.167;-;3.957.714;2.817.176
Guarinos;-;-;-;-;10.388.142;0;-;492.500;-;3.194.850;5.267.606
Heitoraí;1.397.248,97;1.433.561,44;1.536.336,59;1.038.014,64;942.983;1.555.910;1.441.000;1.710.215;2.649.358;2.290.987;2.090.916
