Localidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Pires do Rio;9.116.406,10;10.832.626,51;11.056.821,72;11.140.178,92;14.777.347;19.099.547;27.863.516;50.700.970;44.364.858;35.743.000;67.347.391
Planaltina;26.481.652,81;20.211.692,14;32.282.533,61;44.230.305,65;57.393.241;41.120.164;47.040.491;78.440.299;38.822.048;126.398.206;269.578.469
Pontalina;44.422.768,73;55.048.274,51;59.961.409,95;63.620.769,79;78.488.367;81.807.262;110.067.845;152.811.838;193.074.819;62.885.876;193.518.663
Porangatu;19.538.318,33;16.608.505,24;14.469.660,80;20.429.887,41;27.544.058;27.471.554;33.912.381;47.965.099;67.267.291;57.483.754;97.999.686
Porteirão;24.645.465,84;25.183.023,23;30.112.600,48;29.272.325,78;36.133.216;50.752.809;58.139.319;53.795.064;55.295.614;16.210.949;71.864.506
Portelândia;24.969.723,12;16.720.174,85;26.030.647,90;29.699.857,18;25.198.578;29.044.634;39.343.770;60.181.100;48.524.024;22.219.425;88.305.938
Posse;7.959.628,11;2.394.841,58;551.594,16;292.000,00;9.895.274;1.586.566;1.165.455;3.492.110;2.023.448;283.500;1.655.084
Professor Jamil;203.711,16;603.917,17;1.409.675,66;485.710,23;1.434.911;930.013;2.598.922;9.188.810;5.186.305;2.027.292;8.193.959
Quirinópolis;118.554.975,80;76.436.477,22;174.015.603,91;213.999.700,01;167.600.019;125.908.940;274.225.218;185.706.782;192.630.628;265.634.377;170.148.469
Rialma;1.373.960,61;968.315,35;1.227.259,87;1.582.643,30;1.598.255;1.330.022;1.992.766;4.374.118;5.010.149;7.277.416;5.455.805
Rianápolis;238.770,50;334.638,53;70.233,42;140.556,62;159.615;95.655;767.289;704.788;1.552.844;1.008.307;2.137.735
Rio Quente;357.585,40;215.041,79;139.304,59;107.365,20;392.010;0;467.227;246.906;639.125;770.000;4.334.432
Rio Verde;1.723.385.036,26;1.782.964.618,71;1.880.028.570,64;1.614.425.206,38;1.634.149.875;1.428.122.766;1.398.468.870;2.697.193.958;2.408.099.723;1.576.728.232;2.455.915.230
Rubiataba;25.034.040,93;15.791.840,00;12.270.000,00;10.304.226,97;293.524;15.000.000;18.000.000;-;159.887;0;219.333
Sanclerlândia;59.165,48;165.161,10;460.867,64;585.451,41;142.650;65.844;447.485;882.066;1.889.722;3.149.138;4.574.829
Santa Bárbara de Goiás;562.501,31;846.624,87;1.046.339,70;505.221,38;1.495.724;2.191.207;3.786.075;5.016.211;770.444;743.310;1.149.569
Santa Cruz de Goiás;22.841.609,95;21.435.956,04;26.471.937,95;31.666.361,14;29.414.892;39.023.774;40.059.626;67.104.069;63.951.253;28.382.580;101.891.973
Santa Fé de Goiás;1.374.940,20;9.330.439,33;1.320.117,54;4.149.521,15;5.186.256;3.889.368;7.110.205;16.844.942;17.632.600;48.302.863;15.717.241
Santa Helena de Goiás;177.385.972,38;87.684.421,00;109.936.808,20;128.927.717,13;151.545.150;159.978.267;219.929.581;320.261.031;226.017.486;70.160.800;284.512.312
Santa Isabel;1.269.816,80;1.966.432,82;2.926.522,63;2.050.428,05;2.044.878;2.600.262;4.787.674;5.897.219;4.433.311;1.533.242;6.237.648
Santa Rita do Araguaia;9.761.192,23;12.486.982,75;6.887.522,36;3.592.963,69;4.104.336;5.619.295;3.913.768;13.859.558;26.340.897;11.892.709;26.794.141
Santa Rita do Novo Destino;10.678.197,39;8.225.189,58;8.457.299,17;6.265.594,01;7.595.043;10.307.192;9.920.684;20.555.295;29.141.580;117.114.192;24.325.997
Santa Rosa de Goiás;2.569.834,01;1.389.608,15;1.687.519,73;1.154.711,83;3.090.965;3.559.311;7.547.146;12.045.738;4.854.582;3.528.000;7.251.037
Santa Tereza de Goiás;3.841.034,08;3.238.471,92;2.947.646,35;3.838.104,16;4.418.197;4.685.229;4.051.507;2.423.780;8.013.818;779.788;7.872.855
Santa Terezinha de Goiás;2.988.214,48;989.614,73;1.472.467,48;477.878,90;577.238;423.492;798.021;3.883.660;-;899.560;3.935.561
Santo Antônio da Barra;15.398.115,10;16.084.412,10;19.215.210,48;22.860.272,61;16.906.371;19.338.858;27.242.113;45.786.103;57.552.299;24.017.030;29.040.328
Santo Antônio de Goiás;480.189,35;1.690.352,81;1.215.307,65;264.766,74;315.639;12.261.818;2.991.820;7.499.799;449.962;2.218.160;1.786.097
Santo Antônio do Descoberto;1.653.329,10;3.736.065,49;3.656.945,57;3.057.061,23;3.375.785;7.534.867;2.378.082;716.500;2.860.536;8.641.195;25.853.234
São Domingos;1.897.174,09;5.116.249,50;2.732.235,87;1.926.095,00;2.811.530;3.165.184;4.971.402;17.263.482;8.672.509;20.231.660;24.653.924
São Francisco de Goiás;1.918.917,69;1.585.225,79;2.141.661,17;1.660.814,03;3.341.371;3.475.568;3.043.657;4.181.315;6.551.203;2.978.690;5.853.440
São João d'Aliança;56.215.618,44;51.741.003,86;46.744.673,62;66.305.272,48;103.280.203;101.410.369;102.715.698;57.332.004;163.264.932;80.431.857;182.516.369
São João da Paraúna;12.120.492,94;11.209.441,46;10.792.063,93;13.357.009,50;15.592.466;22.160.548;24.515.004;164.750.371;39.340.456;33.865.325;59.723.894
São Luis de Montes Belos;1.492.610,04;149.995,99;185.641,86;87.185,32;431.338;902.286;3.262.622;5.624.530;11.019.497;11.070.549;16.106.625
São Luiz do Norte;3.540.521,94;4.419.699,77;3.360.160,82;2.180.232,66;3.364.741;0;2.106.536;10.637.563;4.351.821;1.117.900;1.023.769
São Miguel do Araguaia;10.273.347,98;4.614.200,25;5.466.470,46;4.843.938,39;1.229.647;9.975.145;2.322.093;23.023.366;4.229.279;40.030.229;49.552.212
São Miguel do Passa Quatro;25.212.382,73;22.475.146,50;22.908.513,72;34.958.858,66;33.097.151;44.410.372;41.094.255;47.465.270;38.916.313;9.776.061;56.359.492
São Patrício;46.574,81;140.800,84;-;40.049,28;6.451.276;0;-;185.000;89.357;2.208.815;1.067.768
São Simão;58.416,97;1.005.571,42;297.162,11;2.770.238,27;2.445.495;2.240.814;3.636.574;6.126.304;4.455.166;6.167.310;8.763.986
Senador Canedo;402.600,00;141.732,64;-;1.900.000,00;92.557;88.200;-;373.697;1.457.835;1.175.000;1.283.441
Serranópolis;110.890.058,94;86.699.400,62;91.263.954,48;100.488.090,06;118.196.198;125.832.474;126.609.624;201.850.062;218.721.268;136.350.790;264.493.507
Silvânia;141.558.688,21;120.019.735,72;156.499.427,32;157.027.032,97;175.496.764;196.539.733;225.596.061;324.257.453;230.413.477;127.751.135;337.351.815
Simolândia;1.175.400,00;4.654.381,93;2.650.627,78;3.708.620,94;12.941.791;1.964.021;4.690.368;8.339.420;5.183.747;22.968.065;20.611.226
Sítio d'Abadia;9.951.151,67;6.777.136,41;11.564.046,65;13.193.502,61;12.900.518;11.033.666;14.888.907;56.759.111;52.554.851;40.614.774;71.277.589
Taquaral de Goiás;1.499.939,36;1.113.777,95;1.015.286,48;1.642.230,39;1.380.636;3.980.519;2.527.336;1.649.384;3.892.720;3.877.320;642.626
Teresina de Goiás;-;-;-;-;121.811;0;-;-;-;-;340.000
Terezópolis de Goiás;305.240,12;289.303,28;452.568,92;853.637,35;225.713;203.149;990.277;2.462.859;2.572.236;1.275.876;3.730.688
Três Ranchos;1.029.229,62;730.066,15;3.268.939,49;2.538.856,82;5.391.148;4.688.488;3.284.970;4.448.961;9.771.945;1.906.200;6.489.523
Trindade;2.234.398,22;2.745.919,04;12.957.011,19;41.677.810,23;6.665.741;8.396.210;12.659.213;22.383.582;18.910.789;8.013.063;18.185.335
Trombas;312.814,21;2.864.525,99;2.407.268,89;3.677.924,95;3.422.678;4.062.561;2.425.093;8.934.389;3.519.555;3.496.809;18.479.057
Turvânia;10.749.848,16;10.171.522,43;8.305.362,40;9.814.937,93;11.861.756;26.352.843;15.253.797;37.329.527;23.239.054;9.914.000;39.802.326
Turvelândia;66.594.465,49;54.982.310,53;70.266.507,10;82.791.883,05;86.723.497;75.478.959;87.583.660;115.863.181;125.380.674;39.634.293;107.076.993
Uirapuru;211.211,00;42.400,00;27.460,95;-;747.494;1.782.146;4.615.362;9.329.419;16.623.734;27.305.186;24.679.355
Uruaçu;36.435.835,80;37.408.903,21;32.632.091,59;36.073.806,26;55.553.104;53.117.019;52.168.248;112.516.391;113.220.855;82.369.832;155.543.121
Uruana;3.169.360,30;1.970.658,68;4.776.007,72;5.064.294,18;4.662.173;5.185.407;2.665.254;6.763.483;10.513.871;4.331.095;7.261.749
Urutaí;5.053.158,44;6.075.214,52;6.532.841,57;9.733.961,18;10.541.493;7.172.278;9.878.278;11.787.113;11.614.011;16.346.836;18.833.392
Valparaíso de Goiás;-;-;-;-;0;0;-;-;-;-;-
Varjão;836.572,03;623.855,24;863.944,19;882.105;2.098.703;2.565.257;4.001.215;10.573.142;18.536.744;3.157.898;12.787.988
Vianópolis;51.356.193,09;53.595.151,35;57.405.591,80;58.848.206;77.113.410;90.882.556;125.963.473;162.980.705;164.261.974;77.476.446;147.101.177
Vicentinópolis;133.944.098,56;73.383.500,41;46.959.809,47;44.329.400;63.392.742;73.448.152;70.383.308;86.431.911;78.195.547;22.358.242;137.729.842
Vila Boa;2.409.721,07;794.700,00;4.041.859,87;2.832.749;8.194.807;9.790.047;25.493.221;24.018.673;6.670.162;4.393.870;5.209.409
Vila Propício;23.932.044,48;18.523.705,12;21.073.277,35;36.383.702;35.579.803;39.313.211;42.864.425;80.910.414;79.862.125;43.827.791;103.088.532
